Latitude,Longitude,Wind,Pressure,Storm_Type
27.5,-79,25,1013,tropical depression
28.5,-79,25,1013,tropical depression
29.5,-79,25,1013,tropical depression
30.5,-79,25,1013,tropical depression
31.5,-78.8,25,1012,tropical depression
32.4,-78.7,25,1012,tropical depression
33.3,-78,25,1011,tropical depression
34,-77,30,1006,tropical depression
34.4,-75.8,35,1004,tropical storm
34,-74.8,40,1002,tropical storm
33.8,-73.8,45,1000,tropical storm
33.8,-72.8,50,998,tropical storm
34.3,-71.6,50,998,tropical storm
35.6,-70.8,55,998,tropical storm
35.9,-70.5,60,987,tropical storm
36.2,-70.2,60,987,tropical storm
36.2,-69.8,60,984,tropical storm
36.2,-69.4,60,984,tropical storm
36.2,-68.3,60,984,tropical storm
36.7,-67.2,60,984,tropical storm
37.4,-66.7,60,984,tropical storm
37.3,-65.9,60,984,tropical storm
37.3,-65.1,60,981,tropical storm
37.3,-64.1,60,986,tropical storm
37.7,-62.8,55,986,tropical storm
38.2,-61.2,55,986,tropical storm
39.3,-59.6,55,986,tropical storm
40.5,-58,50,986,tropical storm
42.5,-54.8,50,986,tropical storm
44.5,-51.6,50,986,tropical storm
47,-48,45,995,extratropical
26,-68.4,20,1014,tropical depression
26,-69.5,20,1014,tropical depression
26.1,-70.5,25,1014,tropical depression
26.5,-71.5,30,1013,tropical depression
27.2,-72.5,30,1012,tropical depression
28,-73.6,30,1010,tropical depression
28.9,-74.3,30,1007,tropical depression
29.9,-74.9,30,1006,tropical depression
31,-75,30,1005,tropical depression
32.2,-74.6,35,1004,tropical storm
33.4,-73.5,35,1003,tropical storm
34.2,-72.2,50,998,tropical storm
35,-71,60,992,tropical storm
35.9,-70,65,987,hurricane
36.9,-69,70,984,hurricane
37.9,-68,75,981,hurricane
39.3,-67.2,75,980,hurricane
41.2,-66.4,70,980,hurricane
44,-65.2,60,988,extratropical
47.2,-62.4,60,992,extratropical
22.4,-69.8,25,1011,tropical depression
21.9,-71.1,25,1011,tropical depression
21.6,-72.5,25,1010,tropical depression
21.2,-73.8,25,1010,tropical depression
20.9,-75.1,25,1011,tropical depression
20.6,-76.4,25,1011,tropical depression
20.4,-77.7,25,1011,tropical depression
20.3,-79,25,1011,tropical depression
20.2,-80.3,25,1012,tropical depression
20.2,-81.6,25,1012,tropical depression
20.4,-82.8,25,1013,tropical depression
20.8,-84,25,1013,tropical depression
21.1,-85.1,25,1014,tropical depression
21.5,-86.3,25,1014,tropical depression
22,-87.5,25,1014,tropical depression
22.4,-88.8,25,1014,tropical depression
22.8,-90.1,25,1013,tropical depression
22.9,-91,25,1010,tropical depression
23,-91.9,30,1007,tropical depression
23.1,-92.6,35,1003,tropical storm
23.2,-93.2,40,999,tropical storm
23.2,-93.6,50,994,tropical storm
23.3,-94.2,65,990,hurricane
23.5,-94.9,65,990,hurricane
23.7,-95.6,65,989,hurricane
